con,hip,id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum
Gru,109268.0,108922,209952.0,8425.0,Gl 848.2,Alp Gru,Alnair,22.137209,-46.960975,30.9693,1.73,B7IV,Alp,,169.82436524617444
Gru,110997.0,110650,213009.0,8556.0,,Del1Gru,,22.487825,-43.495565,94.8767,3.97,G6/G8III,Del-1,,202.488330653056
Gru,114131.0,113770,218227.0,8787.0,,The Gru,,23.11465,-43.520358,40.4367,4.28,F5me...,The,,27.64394371220336
Gru,114421.0,114059,218670.0,8820.0,,Iot Gru,,23.17264,-45.246711,56.1798,3.88,K0III SB,Iot,,77.12585649892138
Gru,112122.0,111768,214952.0,8636.0,,Bet Gru,Tiaki,22.711115,-46.884577,54.2594,2.07,M5III,Bet,,380.8903764981352
Gru,113638.0,113278,217364.0,8747.0,,Zet Gru,,23.014677,-52.754137,33.3778,4.11,G8III,Zet,,22.019122114844777
Gru,112623.0,112263,215789.0,8675.0,GJ 9796,Eps Gru,,22.809239,-51.316864,39.5257,3.49,A3V,Eps,,54.65123745198719
Gru,108085.0,107742,207971.0,8353.0,,Gam Gru,Aldhanab,21.898808,-37.364852,64.7249,3.0,B8III,Gam,,230.14418174085063
Gru,109111.0,108765,209688.0,8411.0,,Lam Gru,,22.101914,-39.543353,74.239,4.47,M0III,Lam,,78.19878403894965
Lac,109937.0,109591,211388.0,8498.0,,1    Lac,,22.26616,37.748737,190.4762,4.14,K3III,,1.0,697.5896043328052
Lac,111104.0,110757,213420.0,8579.0,,6    Lac,,22.508128,43.123376,526.3158,4.52,B2IV,,6.0,3753.185242379142
Lac,111022.0,110675,213310.0,8572.0,,5    Lac,,22.492173,47.706887,505.0505,4.34,M0II,,5.0,4081.3139159697193
Lac,110609.0,110263,212593.0,8541.0,,4    Lac,,22.408609,49.476392,689.6552,4.55,B9Iab,,4.0,6269.024974761646
Lac,110538.0,110192,212496.0,8538.0,,3Bet Lac,,22.392675,52.229046,52.1105,4.42,G9III,Bet,3.0,40.36453929676048
Lac,111169.0,110822,213558.0,8585.0,,7Alp Lac,,22.521515,50.282491,31.4564,3.76,A1V,Alp,7.0,27.014690729572468
Psc,4889.0,4879,6118.0,291.0,,69Sig Psc,,1.046971,31.804263,132.9787,5.5,B9.5V,Sig,69.0,97.18517029401686
Psc,6193.0,6179,7964.0,383.0,,90Ups Psc,,1.324443,27.264059,94.4287,4.74,A3V,Ups,90.0,98.7188301068396
Psc,5742.0,5730,7318.0,360.0,,85Phi Psc,,1.229152,24.583713,136.7989,4.67,K0III...,Phi,85.0,220.80047330188992
Psc,7097.0,7083,9270.0,437.0,,99Eta Psc,Alpherg,1.524725,15.345823,107.1811,3.62,G8III,Eta,99.0,356.77958828856265
Psc,8198.0,8183,10761.0,510.0,,110Omi Psc,Torcular,1.756564,9.157736,85.6898,4.26,K0III,Omi,110.0,126.4736347471151
Psc,9487.0,9467,12446.0,595.0,,113Alp Psc,Alrescha,2.034117,2.763759,46.1681,3.82,A2,Alp,113.0,55.05540984847944
Psc,8833.0,8814,11559.0,549.0,,111Xi  Psc,,1.892597,3.187536,54.9149,4.61,K0III SB,Xi,111.0,37.60105236684958
Psc,7884.0,7869,10380.0,489.0,,106Nu  Psc,,1.690526,5.487613,111.3586,4.45,K3III,Nu,106.0,179.30813770804414
Psc,7007.0,6993,9138.0,434.0,,98Mu  Psc,,1.503087,6.14382,93.1966,4.84,K4III,Mu,98.0,87.65970403212789
Psc,4906.0,4896,6186.0,294.0,,71Eps Psc,,1.049058,7.890135,55.7414,4.27,K0III,Eps,71.0,53.01515066784589
Psc,3760.0,3752,4627.0,221.0,,62    Psc,,0.804836,7.299928,177.6199,5.92,G8III,,62.0,117.70637907805684
Psc,1645.0,1641,1635.0,80.0,,41    Psc,,0.343295,8.190271,125.0,5.38,K3III,,41.0,95.94006315159336
Psc,118268.0,117900,224617.0,9072.0,,28Ome Psc,,23.988525,6.863321,31.9898,4.03,F4IV,Ome,28.0,21.77709772353159
Psc,116771.0,116405,222368.0,8969.0,Gl 904,17Iot Psc,,23.665844,5.626292,13.7137,4.13,F7V,Iot,17.0,3.650900524844983
Psc,115830.0,115465,220954.0,8916.0,,10The Psc,,23.466138,6.378992,45.5373,4.27,K1III,The,10.0,35.383435681472214
Psc,114971.0,114609,219615.0,8852.0,,6Gam Psc,,23.286094,3.282289,42.3012,3.7,G7III,Gam,6.0,51.61786054966728
Psc,115738.0,115376,220825.0,8911.0,,8Kap Psc,,23.448876,1.255608,47.0588,4.95,A0p,Kap,8.0,20.19296069798118
Psc,116928.0,116562,222603.0,8984.0,,18Lam Psc,,23.700779,1.780041,32.6904,4.49,A7V,Lam,18.0,14.886753594923636
Cet,10324.0,10300,13611.0,649.0,,65Xi 1Cet,,2.216665,8.846717,117.5088,4.36,G8II:,Xi-1,65.0,216.7704104819694
Cet,11484.0,11457,15318.0,718.0,,73Xi 2Cet,,2.469317,8.460054,59.2066,4.3,B9III,Xi-2,73.0,58.1835211048072
Cet,12828.0,12795,17094.0,813.0,GJ 9099,87Mu  Cet,,2.749039,10.114146,25.7732,4.27,F1III-IV,Mu,87.0,11.334438229710342
Cet,13954.0,13920,18604.0,896.0,,91Lam Cet,,2.99525,8.907365,176.6784,4.71,B6III,Lam,91.0,355.1403349828821
Cet,14135.0,14100,18884.0,911.0,,92Alp Cet,Menkar,3.037992,4.089734,76.3942,2.54,M2III,Alp,92.0,489.7788193684461
Cet,12706.0,12673,16970.0,804.0,Gl 106.1A,86Gam Cet,Kaffaljidhma,2.721678,3.235818,24.4081,3.47,A3V,Gam,86.0,21.242224773886967
Cet,12093.0,12062,16161.0,754.0,,78Nu  Cet,,2.597909,5.593246,104.2753,4.87,G8III,Nu,78.0,106.7578945099494
Cet,12387.0,12355,16582.0,779.0,,82Del Cet,,2.658044,0.328511,199.2032,4.08,B2IV,Del,82.0,806.1205638638912
Cet,10826.0,10800,14386.0,681.0,,68Omi Cet,Mira,2.322442,-2.977643,91.659,6.47,M5e-M9e,Omi,68.0,18.897310544316767
Cet,12390.0,12357,16620.0,781.0,Gl 105.4A,83Eps Cet,,2.659398,-11.872156,21.4823,4.83,F5V,Eps,83.0,4.698941086052153
Cet,12770.0,12737,17081.0,811.0,,89Pi  Cet,,2.735375,-13.858696,120.4819,4.24,B7IV,Pi,89.0,254.6830252585042
Cet,11783.0,11755,15798.0,740.0,,76Sig Cet,,2.534786,-15.244677,26.6951,4.74,F5V,Sig,76.0,7.884969177453771
Cet,11348.0,11321,15144.0,710.0,,,,2.433431,-15.341247,77.0416,5.88,Ap SrCrEu,,,22.993230870212244
Cet,8102.0,8087,10700.0,509.0,Gl 71,52Tau Cet,,1.734479,-15.93748,3.6502,3.49,G8V,Tau,52.0,0.4664445252037795
Cet,3419.0,3413,4128.0,188.0,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,2.04,K0III,Bet,16.0,116.0913870126182
Cet,1562.0,1559,1522.0,74.0,,8Iot Cet,,0.323799,-8.823921,84.1751,3.56,K2III,Iot,8.0,232.4877101501645
Cet,11345.0,11318,15130.0,708.0,,72Rho Cet,,2.432501,-12.29048,139.8601,4.88,A0V,Rho,72.0,190.1953960442308
Cet,8645.0,8628,11353.0,539.0,,55Zet Cet,Baten Kaitos,1.857676,-10.335038,72.0461,3.74,K2III,Zet,55.0,144.27796231294775
Cet,6537.0,6523,8512.0,402.0,,45The Cet,,1.40039,-8.183257,34.8918,3.6,K0III,The,45.0,38.51234824289314
Cet,5364.0,5353,6805.0,334.0,GJ 3075,31Eta Cet,,1.143164,-10.182264,37.9939,3.46,K2III,Eta,31.0,51.95172830110675
And,9640.0,9618,12533.0,603.0,,57Gam1And,Almach,2.064984,42.329725,120.4819,2.1,B8V,Gam-1,57.0,1828.1002161427427
And,5447.0,5436,6860.0,337.0,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,2.07,M0IIIvar,Bet,43.0,474.2419852602448
And,3092.0,3086,3627.0,165.0,,31Del And,,0.655462,30.861024,32.352,3.27,K3III...,Del,31.0,44.87453899331323
And,677.0,676,358.0,15.0,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,2.07,B9p,Alp,21.0,114.49855346901884
Phe,8837.0,8818,11695.0,555.0,,Psi Phe,,1.894102,-46.302669,104.8218,4.39,M4III SB,Psi,,167.8031078290955
Phe,7083.0,7068,9362.0,440.0,,Del Phe,,1.520851,-49.072702,43.573,3.93,K0III-IV,Del,,44.29961991003636
Phe,5165.0,5154,6595.0,322.0,,Bet Phe,,1.101407,-46.718414,100000.0,3.32,G8IIIvar,Bet,,409260659.730011
Phe,6867.0,6853,9053.0,429.0,,Gam Phe,,1.472759,-43.318234,71.6332,3.41,K5II-III,Gam,,193.37485452952552
Phe,2072.0,2069,2262.0,100.0,Gl 20,Kap Phe,,0.436716,-43.679829,23.8095,3.93,A7V,Kap,,13.231223331133709
Phe,2081.0,2076,2261.0,99.0,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,2.4,K0III...,Alp,,64.44659847416881
Phe,765.0,763,496.0,25.0,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,3.88,K0III,Eps,,47.7749234659094
Phe,5348.0,5337,6882.0,338.0,,Zet Phe,Wurren,1.139742,-55.24576,91.5751,3.94,B6V + B0V,Zet,,193.9099078614849
Peg,1067.0,1065,886.0,39.0,,88Gam Peg,Algenib,0.220598,15.183596,120.048,2.83,B2IV,Gam,88.0,926.4031007363994
Peg,113963.0,113603,218045.0,8781.0,,54Alp Peg,Markab,23.079348,15.205264,40.8831,2.49,B9.5III,Alp,54.0,146.96028989796503
Peg,113881.0,113521,217906.0,8775.0,,53Bet Peg,Scheat,23.062901,28.082789,60.0962,2.44,M2II-IIIvar,Bet,53.0,332.35330357747745
Peg,112447.0,112090,215648.0,8665.0,Gl 872A,46Xi  Peg,,22.778216,12.172888,16.2973,4.2,F7V,Xi,46.0,4.83503920591621
Peg,112029.0,111676,214923.0,8634.0,,42Zet Peg,Homam,22.691033,10.831364,62.6566,3.41,B8.5V,Zet,42.0,147.91083881682073
Peg,109427.0,109081,210418.0,8450.0,GJ 9771,26The Peg,Biham,22.169996,6.197865,28.2965,3.52,A2V,The,26.0,27.264654585290064
Peg,107315.0,106972,206778.0,8308.0,,8Eps Peg,Enif,21.736433,9.875011,211.4165,2.38,K2Ibvar,Eps,8.0,4349.106072324538
Peg,112158.0,111804,215182.0,8650.0,,44Eta Peg,Matar,22.716704,30.221245,65.703,2.93,G2II-III..,Eta,44.0,253.04630494613968
Peg,109410.0,109064,210459.0,8454.0,,29Pi 2Peg,,22.166457,33.178224,80.6452,4.28,F5III,Pi-2,29.0,109.95120668793496
Peg,112748.0,112389,216131.0,8684.0,GJ 4298,48Mu  Peg,Sadalbari,22.833385,24.601579,32.5309,3.51,M2III,Mu,48.0,36.3412616064223
Peg,112440.0,112084,215665.0,8667.0,GJ 4295,47Lam Peg,,22.775521,23.565654,111.9821,3.97,G8II-III,Lam,47.0,282.09799536634296
Peg,109176.0,108830,210027.0,8430.0,Gl 848,24Iot Peg,,22.116847,25.345112,11.7261,3.77,F5V,Iot,24.0,3.718775833249356
Peg,107354.0,107011,206901.0,8315.0,,10Kap Peg,,21.744092,25.645036,34.2231,4.14,F5IV,Kap,10.0,22.53201335629484
Peg,677.0,676,358.0,15.0,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,2.07,B9p,Alp,21.0,114.49855346901884
Scl,4577.0,4567,5737.0,280.0,,Alp Scl,,0.976766,-29.357449,238.0952,4.3,B7IIIp,Alp,,941.0224835267508
Scl,115102.0,114740,219784.0,8863.0,GJ 9821,Gam Scl,,23.313733,-32.532027,55.8659,4.41,K1III,Gam,,46.81661397243642
Scl,116231.0,115865,221507.0,8937.0,,Bet Scl,,23.549512,-37.818268,53.3618,4.38,B9.5IVMNpe.,Bet,,43.89347855347172
Cas,8886.0,8867,11415.0,542.0,,45Eps Cas,Segin,1.906584,63.670101,126.2626,3.35,B2pvar,Eps,45.0,634.453795775715
Cas,6686.0,6672,8538.0,403.0,,37Del Cas,Ruchbah,1.430216,60.235283,30.4785,2.66,A5Vv SB,Del,37.0,69.82324040771711
Cas,4427.0,4417,5394.0,264.0,,27Gam Cas,Cih,0.945143,60.71674,168.3502,2.15,B0IV:evar,Gam,27.0,3407.218616593573
Cas,3179.0,3172,3712.0,168.0,,18Alp Cas,Schedar,0.675116,56.537331,69.979,2.24,K0II-IIIvar,Alp,18.0,542.0008904016238
Cas,746.0,744,432.0,21.0,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,2.28,F2III-IV,Bet,11.0,30.06076302628229
Oct,70638.0,70415,124882.0,5339.0,,Del Oct,,14.448801,-83.667884,91.659,4.31,K2III,Del,,138.16562311673286
Oct,107089.0,106746,205478.0,8254.0,Gl 835.1,Nu  Oct,,21.691253,-77.390046,21.1999,3.73,K0III,Nu,,12.612465753175384
Oct,112405.0,112050,214846.0,8630.0,,Bet Oct,,22.767692,-81.381615,45.7666,4.13,A9IV/V,Bet,,40.66305463404283
Cep,116727.0,116361,222404.0,8974.0,Gl 903,35Gam Cep,Errai,23.65582,77.632276,14.1024,3.21,K1IV,Gam,35.0,9.003264310597224
Cep,112724.0,112364,216228.0,8694.0,,32Iot Cep,,22.82802,66.200408,35.3482,3.5,K0III,Iot,32.0,43.33112852118382
Cep,109492.0,109146,210745.0,8465.0,,21Zet Cep,,22.180908,58.201261,256.4103,3.39,K1Ibv SB,Zet,21.0,2523.480772480573
Cep,105199.0,104861,203280.0,8162.0,Gl 826,5Alp Cep,Alderamin,21.30963,62.585573,15.0376,2.45,A7IV-V,Alp,5.0,20.62528697846573
Cep,106032.0,105691,205021.0,8238.0,,8Bet Cep,Alfirk,21.477662,70.560716,210.084,3.23,B2IIIv SB,Bet,8.0,1962.4563241736896
Tuc,110130.0,109784,211416.0,8502.0,,Alp Tuc,,22.308371,-60.259587,61.237,2.87,K3III,Alp,,232.2736796357105
Tuc,114996.0,114634,219571.0,8848.0,GJ 9818,Gam Tuc,,23.290498,-58.235734,23.0574,3.99,F1III,Gam,,11.738159324832203
Tuc,2484.0,2478,2884.0,126.0,,Bet1Tuc,,0.525725,-62.958218,41.4079,4.36,B9V,Bet-1,,26.915348039269155
Tuc,1599.0,1595,1581.0,77.0,Gl 17,Zet Tuc,,0.334142,-64.874791,8.5866,4.23,F9V,Zet,,1.3049684141302225
Hyi,9236.0,9217,12311.0,591.0,Gl 83,Alp Hyi,,1.979451,-61.569859,22.0119,2.86,F0V,Alp,,30.283076942657782
Hyi,11001.0,10975,15008.0,705.0,Gl 97.1,Del Hyi,,2.362498,-68.659418,42.8266,4.08,A3V,Del,,37.290653996215255
Hyi,12394.0,12360,16978.0,806.0,,Eps Hyi,,2.659799,-68.266946,46.5549,4.12,B9III,Eps,,42.46195639463128
Hyi,17678.0,17637,24512.0,1208.0,,Gam Hyi,,3.787295,-74.238962,65.6168,3.26,M2III,Gam,,186.2087136662868
Hyi,2021.0,2016,2151.0,98.0,Gl 19,Bet Hyi,,0.427916,-77.254247,7.4588,2.82,G2IV,Bet,,3.607447338641916
UMi,11767.0,11734,8890.0,424.0,,1Alp UMi,Polaris,2.52975,89.264109,132.626,1.97,F7:Ib-IIv SB,Alp,1.0,2495.743794831569
UMi,85822.0,85560,166205.0,6789.0,,23Del UMi,Yildun,17.536918,86.58646,52.7704,4.35,A1Vn,Del,23.0,44.136714346343965
UMi,82080.0,81830,153751.0,6322.0,,22Eps UMi,,16.766159,82.037262,93.1966,4.21,G5IIIvar,Eps,22.0,156.60297206860486
UMi,77055.0,76819,142105.0,5903.0,,16Zet UMi,,15.734299,77.794493,113.1222,4.29,A3Vn,Zet,16.0,214.3877665973507
UMi,79822.0,79580,148048.0,6116.0,GJ 3950A,21Eta UMi,,16.291791,75.75533,29.7354,4.95,F5V,Eta,21.0,8.061205638638908
UMi,75097.0,74868,137422.0,5735.0,,13Gam UMi,Pherkad,15.345483,71.834016,149.2537,3.0,A3II-III,Gam,13.0,1224.6161992650489
UMi,72607.0,72380,131873.0,5563.0,,7Bet UMi,Kochab,14.845105,74.155505,40.1445,2.07,K4IIIvar,Bet,7.0,208.54510476931685
Eri,21594.0,21541,29503.0,1481.0,GJ 9160A,53    Eri,Sceptrum,4.63634,-14.30402,33.6814,3.86,K1III,,53.0,28.235793691102995
Eri,23972.0,23917,33328.0,1679.0,,69Lam Eri,,5.15244,-8.754081,248.7562,4.25,B2IVn,Lam,69.0,1075.474208972789
Eri,23875.0,23820,33111.0,1666.0,GJ 9175,67Bet Eri,Cursa,5.130829,-5.086446,27.3973,2.78,A3IIIvar,Bet,67.0,50.53589947531675
Eri,22701.0,22648,31109.0,1560.0,,61Ome Eri,,4.881575,-5.452695,72.0461,4.36,A9IV,Ome,61.0,81.50795556116014
Eri,22109.0,22056,30211.0,1520.0,,57Mu  Eri,,4.758375,-3.254657,160.0,4.01,B5IV,Mu,57.0,555.1367774352115
Eri,21444.0,21391,29248.0,1463.0,,48Nu  Eri,,4.605317,-3.352459,207.0393,3.93,B2III SB,Nu,48.0,1000.0
Eri,17378.0,17336,23249.0,1136.0,Gl 150,23Del Eri,Rana,3.720806,-9.763395,9.0408,3.52,K0IV,Del,23.0,2.782274657675122
Eri,16537.0,16496,22049.0,1084.0,Gl 144,18Eps Eri,Ran,3.548848,-9.458262,3.2161,3.72,K2V,Eps,18.0,0.2929543829769431
Eri,15197.0,15159,20320.0,984.0,,13Zet Eri,Zibal,3.263896,-8.81973,33.6474,4.8,A5m,Zet,13.0,11.857687481671595
Eri,13701.0,13667,18322.0,874.0,,3Eta Eri,Azha,2.940458,-8.898144,41.8585,3.89,K1III-IV,Eta,3.0,42.42286549229506
Eri,12843.0,12810,17206.0,818.0,Gl 111,1Tau1Eri,,2.751715,-18.572563,14.2207,4.47,F5/F6V,Tau-1,1.0,2.8707805820246897
Eri,14146.0,14112,18978.0,919.0,Gl 121,11Tau3Eri,,3.039863,-23.624472,27.1739,4.08,A4V,Tau-3,11.0,15.010667325703686
Eri,15474.0,15436,20720.0,1003.0,,16Tau4Eri,,3.325278,-21.757864,93.3707,3.7,M3/M4III,Tau-4,16.0,251.420103015902
Eri,16611.0,16570,22203.0,1088.0,,19Tau5Eri,,3.563132,-21.632883,89.9281,4.26,B9V,Tau-5,19.0,139.1874248839297
Eri,17651.0,17609,23754.0,1173.0,Gl 155,27Tau6Eri,,3.780804,-23.249723,17.6274,4.22,F3/F5V,Tau-6,27.0,5.551367774352111
Eri,21393.0,21340,29291.0,1464.0,,52Ups2Eri,Theemin,4.592512,-30.562341,65.5738,3.81,G8III,Ups-2,52.0,112.0985512875314
Eri,20535.0,20483,28028.0,1393.0,,43    Eri,Beemim,4.400613,-34.016846,90.8265,3.97,K4III,,43.0,185.5239575549284
Eri,20042.0,19992,27376.0,1347.0,,41Ups4Eri,,4.298237,-33.798348,54.5554,3.55,B9V,Ups-4,41.0,98.53715068586186
Eri,17874.0,17833,24160.0,1195.0,,,,3.824237,-36.20025,64.3501,4.17,G8III,,,77.481853277562
Eri,17797.0,17757,24071.0,1189.0,,,,3.809963,-37.620155,50.7357,4.3,A+...,,,42.73660314969305
Eri,15510.0,15471,20794.0,1008.0,Gl 139,,82 G. Eri,3.331944,-43.069784,6.0434,4.26,G8V,,,0.6286370884130494
Eri,13847.0,13813,18622.0,897.0,,The1Eri,Acamar,2.971023,-40.304672,49.4315,2.88,A4III+...,The-1,,149.96848355023724
Eri,12486.0,12452,16815.0,794.0,,Iot Eri,,2.677781,-39.855375,46.1894,4.11,K0III,Iot,,42.18907465677975
Eri,12413.0,12381,16754.0,789.0,,,,2.663326,-42.89167,35.6888,4.74,A2V,,,14.099379493587232
Eri,11407.0,11380,15371.0,721.0,,Kap Eri,,2.449755,-47.70384,155.7632,4.24,B5IV,Kap,,425.402462944068
Eri,10602.0,10578,14228.0,674.0,,Phi Eri,,2.275154,-51.512165,47.1254,3.56,B8IV-V,Phi,,72.84504232923301
Eri,9007.0,8989,11937.0,566.0,Gl 81A,Chi Eri,,1.932564,-51.608896,17.8508,3.69,G5IV,Chi,,9.272567425805942
Eri,7588.0,7574,10144.0,472.0,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,0.45,B3Vp,Alp,,1051.9618738232234
Per,17448.0,17406,23180.0,1131.0,,38Omi Per,Atik,3.738648,32.288248,343.6426,3.84,B1III,Omi,38.0,2995.021883751126
Per,18246.0,18201,24398.0,1203.0,,44Zet Per,,3.9022,31.883635,230.4147,2.84,B1Ib,Zet,44.0,3382.2055666965434
Per,18614.0,18567,24912.0,1228.0,,46Xi  Per,Menkib,3.98275,35.791033,381.6794,3.98,O7.5Iab:,Xi,46.0,3244.890156605363
Per,18532.0,18485,24760.0,1220.0,,45Eps Per,,3.96423,40.010215,195.6947,2.9,B0.5V,Eps,45.0,2307.809729698403
Per,17358.0,17316,22928.0,1122.0,,39Del Per,,3.715416,47.787551,158.2278,3.01,B5III SB,Del,39.0,1362.6991969948704
Per,15863.0,15824,20902.0,1017.0,,33Alp Per,Mirfak,3.405378,49.86118,155.2795,1.79,F5Ib,Alp,33.0,4040.173353730007
