id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum,con,hip
4879,6118.0,291.0,,69Sig Psc,,1.046971,31.804263,132.9787,5.5,B9.5V,Sig,69.0,97.18517029401686,Psc,4889.0
6179,7964.0,383.0,,90Ups Psc,,1.324443,27.264059,94.4287,4.74,A3V,Ups,90.0,98.7188301068396,Psc,6193.0
5730,7318.0,360.0,,85Phi Psc,,1.229152,24.583713,136.7989,4.67,K0III...,Phi,85.0,220.80047330188992,Psc,5742.0
7083,9270.0,437.0,,99Eta Psc,Alpherg,1.524725,15.345823,107.1811,3.62,G8III,Eta,99.0,356.77958828856265,Psc,7097.0
8183,10761.0,510.0,,110Omi Psc,Torcular,1.756564,9.157736,85.6898,4.26,K0III,Omi,110.0,126.4736347471151,Psc,8198.0
9467,12446.0,595.0,,113Alp Psc,Alrescha,2.034117,2.763759,46.1681,3.82,A2,Alp,113.0,55.05540984847944,Psc,9487.0
8814,11559.0,549.0,,111Xi  Psc,,1.892597,3.187536,54.9149,4.61,K0III SB,Xi,111.0,37.60105236684958,Psc,8833.0
7869,10380.0,489.0,,106Nu  Psc,,1.690526,5.487613,111.3586,4.45,K3III,Nu,106.0,179.30813770804414,Psc,7884.0
6993,9138.0,434.0,,98Mu  Psc,,1.503087,6.14382,93.1966,4.84,K4III,Mu,98.0,87.65970403212789,Psc,7007.0
4896,6186.0,294.0,,71Eps Psc,,1.049058,7.890135,55.7414,4.27,K0III,Eps,71.0,53.01515066784589,Psc,4906.0
3752,4627.0,221.0,,62    Psc,,0.804836,7.299928,177.6199,5.92,G8III,,62.0,117.70637907805684,Psc,3760.0
1641,1635.0,80.0,,41    Psc,,0.343295,8.190271,125.0,5.38,K3III,,41.0,95.94006315159336,Psc,1645.0
117900,224617.0,9072.0,,28Ome Psc,,23.988525,6.863321,31.9898,4.03,F4IV,Ome,28.0,21.77709772353159,Psc,118268.0
116405,222368.0,8969.0,Gl 904,17Iot Psc,,23.665844,5.626292,13.7137,4.13,F7V,Iot,17.0,3.650900524844983,Psc,116771.0
115465,220954.0,8916.0,,10The Psc,,23.466138,6.378992,45.5373,4.27,K1III,The,10.0,35.383435681472214,Psc,115830.0
114609,219615.0,8852.0,,6Gam Psc,,23.286094,3.282289,42.3012,3.7,G7III,Gam,6.0,51.61786054966728,Psc,114971.0
115376,220825.0,8911.0,,8Kap Psc,,23.448876,1.255608,47.0588,4.95,A0p,Kap,8.0,20.19296069798118,Psc,115738.0
116562,222603.0,8984.0,,18Lam Psc,,23.700779,1.780041,32.6904,4.49,A7V,Lam,18.0,14.886753594923636,Psc,116928.0
10300,13611.0,649.0,,65Xi 1Cet,,2.216665,8.846717,117.5088,4.36,G8II:,Xi-1,65.0,216.7704104819694,Cet,10324.0
11457,15318.0,718.0,,73Xi 2Cet,,2.469317,8.460054,59.2066,4.3,B9III,Xi-2,73.0,58.1835211048072,Cet,11484.0
12795,17094.0,813.0,GJ 9099,87Mu  Cet,,2.749039,10.114146,25.7732,4.27,F1III-IV,Mu,87.0,11.334438229710342,Cet,12828.0
13920,18604.0,896.0,,91Lam Cet,,2.99525,8.907365,176.6784,4.71,B6III,Lam,91.0,355.1403349828821,Cet,13954.0
14100,18884.0,911.0,,92Alp Cet,Menkar,3.037992,4.089734,76.3942,2.54,M2III,Alp,92.0,489.7788193684461,Cet,14135.0
12673,16970.0,804.0,Gl 106.1A,86Gam Cet,Kaffaljidhma,2.721678,3.235818,24.4081,3.47,A3V,Gam,86.0,21.242224773886967,Cet,12706.0
12062,16161.0,754.0,,78Nu  Cet,,2.597909,5.593246,104.2753,4.87,G8III,Nu,78.0,106.7578945099494,Cet,12093.0
12355,16582.0,779.0,,82Del Cet,,2.658044,0.328511,199.2032,4.08,B2IV,Del,82.0,806.1205638638912,Cet,12387.0
10800,14386.0,681.0,,68Omi Cet,Mira,2.322442,-2.977643,91.659,6.47,M5e-M9e,Omi,68.0,18.897310544316767,Cet,10826.0
12357,16620.0,781.0,Gl 105.4A,83Eps Cet,,2.659398,-11.872156,21.4823,4.83,F5V,Eps,83.0,4.698941086052153,Cet,12390.0
12737,17081.0,811.0,,89Pi  Cet,,2.735375,-13.858696,120.4819,4.24,B7IV,Pi,89.0,254.6830252585042,Cet,12770.0
11755,15798.0,740.0,,76Sig Cet,,2.534786,-15.244677,26.6951,4.74,F5V,Sig,76.0,7.884969177453771,Cet,11783.0
11321,15144.0,710.0,,,,2.433431,-15.341247,77.0416,5.88,Ap SrCrEu,,,22.993230870212244,Cet,11348.0
8087,10700.0,509.0,Gl 71,52Tau Cet,,1.734479,-15.93748,3.6502,3.49,G8V,Tau,52.0,0.4664445252037795,Cet,8102.0
3413,4128.0,188.0,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,2.04,K0III,Bet,16.0,116.0913870126182,Cet,3419.0
1559,1522.0,74.0,,8Iot Cet,,0.323799,-8.823921,84.1751,3.56,K2III,Iot,8.0,232.4877101501645,Cet,1562.0
11318,15130.0,708.0,,72Rho Cet,,2.432501,-12.29048,139.8601,4.88,A0V,Rho,72.0,190.1953960442308,Cet,11345.0
